,method_name,cluster_id
0,reset,1
1,getRecognizedFeatures,0
2,setFeature,0
3,getRecognizedProperties,0
4,setProperty,0
5,getFeatureDefault,1
6,getPropertyDefault,1
7,setDocumentHandler,0
8,getDocumentHandler,0
9,startDocument,2
10,xmlDecl,2
11,doctypeDecl,0
12,comment,2
13,processingInstruction,2
14,startElement,7
15,emptyElement,7
16,endElement,4
17,startGeneralEntity,2
18,textDecl,2
19,endGeneralEntity,2
20,characters,2
21,ignorableWhitespace,2
22,startCDATA,2
23,endCDATA,2
24,endDocument,0
25,setDocumentSource,0
26,getDocumentSource,0
27,attributeDecl,6
28,elementDecl,6
29,endAttlist,6
30,endConditional,6
31,endDTD,6
32,endExternalSubset,6
33,endParameterEntity,6
34,externalEntityDecl,6
35,getDTDSource,0
36,ignoredCharacters,6
37,internalEntityDecl,6
38,notationDecl,6
39,setDTDSource,0
40,startAttlist,6
41,startConditional,6
42,startDTD,6
43,startExternalSubset,6
44,startParameterEntity,6
45,unparsedEntityDecl,6
46,getDTDHandler,0
47,setDTDHandler,0
48,setErrorReporter,0
49,handleFallbackElement,4
50,handleIncludeElement,5
51,hasXIncludeNamespace,0
52,isIncludeElement,0
53,isFallbackElement,0
54,sameBaseURIAsIncludeParent,0
55,sameLanguageAsIncludeParent,0
56,setupCurrentBaseURI,0
57,searchForRecursiveIncludes,0
58,isTopLevelIncludedItem,0
59,isTopLevelIncludedItemViaInclude,0
60,isTopLevelIncludedItemViaFallback,0
61,processAttributes,9
62,getRelativeBaseURI,8
63,getIncludeParentBaseURI,1
64,getIncludeParentLanguage,1
65,getIncludeParentDepth,1
66,getResultDepth,0
67,modifyAugmentations,0
68,getState,0
69,setState,0
70,setSawFallback,1
71,getSawFallback,1
72,setSawInclude,1
73,getSawInclude,1
74,reportResourceError,0
75,reportFatalError,0
76,reportError,0
77,setParent,0
78,setHref,0
79,setXIncludeLocator,6
80,isRootDocument,0
81,addUnparsedEntity,3
82,addNotation,3
83,checkUnparsedEntity,0
84,checkNotation,0
85,checkAndSendUnparsedEntity,3
86,checkAndSendNotation,3
87,checkWhitespace,1
88,checkMultipleRootElements,0
89,setRootElementProcessed,0
90,getRootElementProcessed,0
91,copyFeatures,0
92,copyFeatures1,0
93,saveBaseURI,0
94,restoreBaseURI,0
95,saveLanguage,0
96,restoreLanguage,0
97,getBaseURI,1
98,getLanguage,1
99,getRelativeURI,1
100,scopeOfBaseURI,1
101,scopeOfLanguage,1
102,processXMLBaseAttributes,0
103,processXMLLangAttributes,0
104,isValidInHTTPHeader,1
105,createInputSource,0
106,isEqual,0
107,escapeHref,1
