,method_name,cluster_id
0,0,16
1,1,16
2,2,16
3,3,16
4,4,16
5,5,16
6,6,16
7,7,16
8,8,16
9,9,16
10,10,16
11,11,16
12,12,16
13,13,16
14,14,16
15,15,16
16,16,16
17,17,16
18,18,16
19,19,16
20,20,16
21,21,16
22,22,16
23,23,16
24,24,16
25,25,16
26,26,16
27,27,16
28,28,16
29,29,16
30,30,16
31,31,16
32,32,16
33,33,16
34,34,16
35,35,16
36,36,16
37,37,16
38,38,16
39,39,16
40,40,16
41,41,16
42,42,16
43,43,16
44,44,16
45,45,16
46,46,16
47,47,16
48,48,16
49,49,16
50,50,16
51,51,16
52,52,16
53,53,16
54,54,16
55,55,16
56,56,16
57,57,16
58,58,16
59,59,16
60,60,16
61,61,16
62,62,16
63,63,16
64,64,16
65,65,16
66,66,16
67,67,16
68,68,16
69,69,16
70,70,16
71,71,16
72,72,16
73,73,16
74,74,16
75,75,16
76,76,16
77,77,16
78,78,16
79,79,16
80,80,16
81,81,16
82,82,16
83,83,16
84,84,16
85,85,16
86,86,16
87,87,16
88,88,16
89,89,16
90,90,16
91,91,16
92,92,16
93,93,16
94,94,16
95,95,16
96,96,16
97,97,16
98,98,16
99,99,16
100,100,16
101,101,16
102,102,16
103,103,16
104,104,16
105,105,16
106,106,16
107,107,16
108,108,16
109,109,16
110,110,16
111,111,16
112,112,16
113,113,16
114,114,16
115,115,16
116,116,16
117,117,16
118,null2EmptyString,16
119,emptyString2Null,16
120,doc2SystemId,16
121,parseSchema,15
122,validateAnnotations,1
123,createAnnotationValidator,16
124,getGrammar,16
125,findGrammar,1
126,constructTrees,17
127,isExistingGrammar,1
128,updateImportListFor,1
129,updateImportListWith,1
130,buildGlobalNameRegistries,3
131,traverseSchemas,3
132,needReportTNSError,16
133,addGlobalAttributeDecl,13
134,addGlobalAttributeGroupDecl,13
135,addGlobalElementDecl,13
136,addGlobalGroupDecl,13
137,addGlobalNotationDecl,13
138,addGlobalTypeDecl,13
139,addIDConstraintDecl,13
140,getGlobalAttributeDecl,16
141,getGlobalAttributeGroupDecl,16
142,getGlobalElementDecl,16
143,getGlobalGroupDecl,16
144,getGlobalNotationDecl,16
145,getGlobalTypeDecl,16
146,getIDConstraintDecl,16
147,getGlobalDecl,11
148,getGlobalDeclFromGrammar,0
149,traverseGlobalDecl,0
150,schemaDocument2SystemId,16
151,getGrpOrAttrGrpRedefinedByRestriction,0
152,resolveKeyRefs,1
153,storeKeyRef,7
154,resolveSchema,5
155,resolveSchemaSource,5
156,getSchemaDocument,9
157,getSchemaDocument0,16
158,getSchemaDocument1,5
159,expandGrammars,1
160,existingGrammars,1
161,canAddComponents,1
162,canAddComponent,4
163,addGrammars,1
164,addGrammarComponents,16
165,createGrammarFrom,16
166,addNewGrammarLocations,1
167,addNewImportedGrammars,1
168,updateImportList,1
169,addNewGrammarComponents,16
170,addGlobalElementDecls,6
171,addGlobalAttributeDecls,6
172,addGlobalAttributeGroupDecls,6
173,addGlobalNotationDecls,6
174,addGlobalGroupDecls,6
175,addGlobalTypeDecls,6
176,expandComponents,1
177,expandRelatedComponents,18
178,expandRelatedAttributeComponents,2
179,expandRelatedElementComponents,2
180,expandRelatedTypeComponents,2
181,expandRelatedModelGroupDefinitionComponents,2
182,expandRelatedAttributeGroupComponents,2
183,expandRelatedComplexTypeComponents,2
184,expandRelatedSimpleTypeComponents,2
185,expandRelatedAttributeUsesComponents,2
186,expandRelatedAttributeUseComponents,2
187,expandRelatedParticleComponents,2
188,expandRelatedModelGroupComponents,2
189,addRelatedType,2
190,addRelatedElement,2
191,addRelatedAttribute,2
192,addGlobalComponents,1
193,addGlobalComponent,4
194,updateImportDependencies,16
195,expandImportList,16
196,addImportList,1
197,containedImportedGrammar,1
198,getSchemaGrammar,1
199,findDependentNamespaces,16
200,addNamespaceDependency,16
201,reportSharingError,16
202,prepareForTraverse,1
203,setDeclPool,16
204,setDVFactory,16
205,reset,16
206,traverseLocalElements,1
207,removeParticle,1
208,fillInLocalElemInfo,7
209,checkForDuplicateNames,12
210,renameRedefiningComponents,10
211,findQName,0
212,changeRedefineGroup,14
213,findXSDocumentForDecl,1
214,nonAnnotationContent,16
215,setSchemasVisible,1
216,element2Locator,16
217,reportSchemaError,8
218,reportSchemaWarning,8
219,setGenerateSyntheticAnnotations,16
