,method_name,cluster_id
0,getOwnerDocument,3
1,getNodeType,3
2,getNodeName,3
3,cloneNode,27
4,insertBefore,41
5,removeChild,34
6,replaceChild,47
7,getTextContent,3
8,setTextContent,3
9,getFeature,39
10,createAttribute,2
11,createCDATASection,3
12,createComment,3
13,createDocumentFragment,3
14,createElement,2
15,createEntityReference,2
16,createProcessingInstruction,2
17,createTextNode,3
18,getDoctype,40
19,getDocumentElement,36
20,getElementsByTagName,3
21,getImplementation,3
22,setErrorChecking,10
23,setStrictErrorChecking,10
24,getErrorChecking,10
25,getStrictErrorChecking,10
26,getInputEncoding,4
27,setInputEncoding,4
28,setXmlEncoding,1
29,setEncoding,33
30,getXmlEncoding,1
31,getEncoding,32
32,setXmlVersion,37
33,setVersion,31
34,getXmlVersion,45
35,getVersion,30
36,setXmlStandalone,0
37,setStandalone,29
38,getXmlStandalone,0
39,getStandalone,28
40,getDocumentURI,51
41,canRenameElements,3
42,renameNode,19
43,replaceRenameElement,43
44,normalizeDocument,25
45,getDomConfig,13
46,getBaseURI,49
47,setDocumentURI,50
48,getAsync,3
49,setAsync,3
50,abort,3
51,load,3
52,loadXML,3
53,saveXML,35
54,setMutationEvents,3
55,getMutationEvents,3
56,createDocumentType,3
57,createEntity,2
58,createNotation,2
59,createElementDefinition,2
60,getNodeNumber,15
61,importNode,16
62,adoptNode,14
63,undeferChildren,3
64,getElementById,26
65,clearIdentifiers,5
66,putIdentifier,38
67,getIdentifier,5
68,removeIdentifier,5
69,getIdentifiers,5
70,createElementNS,3
71,createAttributeNS,3
72,getElementsByTagNameNS,3
73,clone,6
74,isXMLName,8
75,isValidQName,8
76,isKidOK,7
77,changed,24
78,changes,42
79,getNodeListCache,48
80,freeNodeListCache,17
81,setUserData,23
82,getUserData,20
83,getUserDataRecord,46
84,removeUserDataTable,22
85,setUserDataTable,44
86,callUserDataHandlers,21
87,checkNamespaceWF,10
88,checkDOMNSErr,10
89,checkQName,18
90,isXML11Version,8
91,isNormalizeDocRequired,3
92,isXMLVersionChanged,12
93,addEventListener,3
94,removeEventListener,3
95,copyEventListeners,3
96,dispatchEvent,3
97,replacedText,3
98,deletedText,3
99,insertedText,3
100,modifyingCharacterData,3
101,modifiedCharacterData,3
102,insertingNode,3
103,insertedNode,3
104,removingNode,3
105,removedNode,3
106,replacingNode,3
107,replacedNode,3
108,replacingData,3
109,replacedCharacterData,3
110,modifiedAttrValue,3
111,setAttrNode,3
112,removedAttrNode,3
113,renamedAttrNode,3
114,renamedElement,3
115,readObject,9
116,writeObject,11
