,method_name,cluster_id
0,getGrammarDescription,55
1,getElementDeclIsExternal,48
2,getAttributeDeclIsExternal,38
3,getAttributeDeclIndex,44
4,startDTD,6
5,startParameterEntity,9
6,startExternalSubset,18
7,endParameterEntity,9
8,endExternalSubset,18
9,elementDecl,56
10,attributeDecl,39
11,internalEntityDecl,14
12,externalEntityDecl,14
13,unparsedEntityDecl,14
14,notationDecl,51
15,endDTD,5
16,setDTDSource,36
17,getDTDSource,36
18,textDecl,16
19,comment,16
20,processingInstruction,16
21,startAttlist,16
22,endAttlist,16
23,startConditional,16
24,ignoredCharacters,16
25,endConditional,16
26,setDTDContentModelSource,17
27,getDTDContentModelSource,17
28,startContentModel,43
29,startGroup,49
30,pcdata,53
31,element,2
32,separator,57
33,occurrence,2
34,endGroup,33
35,any,16
36,empty,16
37,endContentModel,16
38,isNamespaceAware,16
39,getSymbolTable,52
40,getFirstElementDeclIndex,4
41,getNextElementDeclIndex,4
42,getElementDeclIndex,16
43,getContentSpecType,42
44,getElementDecl,35
45,getElementDeclName,5
46,getFirstAttributeDeclIndex,3
47,getNextAttributeDeclIndex,47
48,getAttributeDecl,34
49,isCDATAAttribute,54
50,getEntityDeclIndex,16
51,getEntityDecl,0
52,getNotationDeclIndex,16
53,getNotationDecl,58
54,getContentSpec,1
55,getContentSpecIndex,11
56,getContentSpecAsString,45
57,printElements,25
58,printAttributes,31
59,addContentSpecToElement,32
60,getElementContentModelValidator,41
61,createElementDecl,46
62,setElementDecl,40
63,putElementNameMapping,16
64,setFirstAttributeDeclIndex,3
65,setContentSpecIndex,11
66,createAttributeDecl,19
67,setAttributeDecl,29
68,createContentSpec,27
69,setContentSpec,1
70,createEntityDecl,21
71,setEntityDecl,0
72,createNotationDecl,28
73,setNotationDecl,15
74,addContentSpecNode,7
75,addUniqueLeafNode,7
76,initializeContentModelStack,6
77,isImmutable,50
78,appendContentSpec,8
79,printAttribute,26
80,createChildModel,22
81,buildSyntaxTree,30
82,contentSpecTree,8
83,ensureElementDeclCapacity,10
84,ensureAttributeDeclCapacity,37
85,ensureEntityDeclCapacity,12
86,ensureNotationDeclCapacity,13
87,ensureContentSpecCapacity,23
88,resize,16
89,isEntityDeclared,24
90,isEntityUnparsed,20
