,0
method_name,cluster_id
null2EmptyString,2
emptyString2Null,2
doc2SystemId,2
parseSchema,1
validateAnnotations,2
createAnnotationValidator,2
getGrammar,2
findGrammar,2
constructTrees,1
isExistingGrammar,2
updateImportListFor,2
updateImportListWith,2
buildGlobalNameRegistries,3
traverseSchemas,3
needReportTNSError,2
addGlobalAttributeDecl,2
addGlobalAttributeGroupDecl,2
addGlobalElementDecl,2
addGlobalGroupDecl,2
addGlobalNotationDecl,2
addGlobalTypeDecl,2
addIDConstraintDecl,2
getGlobalAttributeDecl,2
getGlobalAttributeGroupDecl,2
getGlobalElementDecl,2
getGlobalGroupDecl,2
getGlobalNotationDecl,2
getGlobalTypeDecl,2
getIDConstraintDecl,2
getGlobalDecl,2
getGlobalDeclFromGrammar,2
traverseGlobalDecl,2
schemaDocument2SystemId,2
getGrpOrAttrGrpRedefinedByRestriction,2
resolveKeyRefs,2
getIDRegistry,2
getIDRegistry_sub,2
storeKeyRef,2
resolveSchema,2
resolveSchemaSource,2
getSchemaDocument,2
getSchemaDocument0,2
getSchemaDocument1,2
expandGrammars,2
existingGrammars,2
canAddComponents,2
canAddComponent,0
addGrammars,2
addGrammarComponents,2
createGrammarFrom,2
addNewGrammarLocations,2
addNewImportedGrammars,2
updateImportList,2
addNewGrammarComponents,2
addGlobalElementDecls,0
addGlobalAttributeDecls,0
addGlobalAttributeGroupDecls,0
addGlobalNotationDecls,0
addGlobalGroupDecls,0
addGlobalTypeDecls,0
expandComponents,2
expandRelatedComponents,0
expandRelatedAttributeComponents,4
expandRelatedElementComponents,4
expandRelatedTypeComponents,4
expandRelatedModelGroupDefinitionComponents,4
expandRelatedAttributeGroupComponents,4
expandRelatedComplexTypeComponents,4
expandRelatedSimpleTypeComponents,4
expandRelatedAttributeUsesComponents,4
expandRelatedAttributeUseComponents,4
expandRelatedParticleComponents,4
expandRelatedModelGroupComponents,4
addRelatedType,4
addRelatedElement,4
addRelatedAttribute,4
addGlobalComponents,2
addGlobalComponent,0
updateImportDependencies,2
expandImportList,2
addImportList,2
containedImportedGrammar,2
getSchemaGrammar,2
findDependentNamespaces,2
addNamespaceDependency,2
reportSharingError,2
createTraversers,2
prepareForParse,2
prepareForTraverse,2
setDeclPool,2
setDVFactory,2
reset,2
traverseLocalElements,2
removeParticle,2
fillInLocalElemInfo,2
checkForDuplicateNames,2
renameRedefiningComponents,3
findQName,2
changeRedefineGroup,2
findXSDocumentForDecl,2
nonAnnotationContent,2
setSchemasVisible,2
element2Locator,2
reportSchemaError,2
reportSchemaWarning,2
setGenerateSyntheticAnnotations,2
