,0
method_name,cluster_id
null2EmptyString,4
emptyString2Null,4
doc2SystemId,4
parseSchema,1
validateAnnotations,4
createAnnotationValidator,4
getGrammar,4
findGrammar,4
constructTrees,1
isExistingGrammar,4
updateImportListFor,4
updateImportListWith,4
buildGlobalNameRegistries,0
traverseSchemas,0
needReportTNSError,4
addGlobalAttributeDecl,4
addGlobalAttributeGroupDecl,4
addGlobalElementDecl,4
addGlobalGroupDecl,4
addGlobalNotationDecl,4
addGlobalTypeDecl,4
addIDConstraintDecl,4
getGlobalAttributeDecl,4
getGlobalAttributeGroupDecl,4
getGlobalElementDecl,4
getGlobalGroupDecl,4
getGlobalNotationDecl,4
getGlobalTypeDecl,4
getIDConstraintDecl,4
getGlobalDecl,4
getGlobalDeclFromGrammar,4
traverseGlobalDecl,4
schemaDocument2SystemId,4
getGrpOrAttrGrpRedefinedByRestriction,4
resolveKeyRefs,4
getIDRegistry,4
getIDRegistry_sub,4
storeKeyRef,4
resolveSchema,4
resolveSchemaSource,4
getSchemaDocument,4
getSchemaDocument0,4
getSchemaDocument1,4
expandGrammars,4
existingGrammars,4
canAddComponents,4
canAddComponent,4
addGrammars,4
addGrammarComponents,4
createGrammarFrom,4
addNewGrammarLocations,4
addNewImportedGrammars,4
updateImportList,4
addNewGrammarComponents,4
addGlobalElementDecls,3
addGlobalAttributeDecls,3
addGlobalAttributeGroupDecls,3
addGlobalNotationDecls,3
addGlobalGroupDecls,3
addGlobalTypeDecls,3
expandComponents,4
expandRelatedComponents,2
expandRelatedAttributeComponents,2
expandRelatedElementComponents,2
expandRelatedTypeComponents,2
expandRelatedModelGroupDefinitionComponents,2
expandRelatedAttributeGroupComponents,2
expandRelatedComplexTypeComponents,2
expandRelatedSimpleTypeComponents,2
expandRelatedAttributeUsesComponents,2
expandRelatedAttributeUseComponents,2
expandRelatedParticleComponents,2
expandRelatedModelGroupComponents,2
addRelatedType,2
addRelatedElement,2
addRelatedAttribute,2
addGlobalComponents,4
addGlobalComponent,4
updateImportDependencies,4
expandImportList,4
addImportList,4
containedImportedGrammar,4
getSchemaGrammar,4
findDependentNamespaces,4
addNamespaceDependency,4
reportSharingError,4
createTraversers,4
prepareForParse,4
prepareForTraverse,4
setDeclPool,4
setDVFactory,4
reset,4
traverseLocalElements,4
removeParticle,4
fillInLocalElemInfo,4
checkForDuplicateNames,4
renameRedefiningComponents,4
findQName,4
changeRedefineGroup,4
findXSDocumentForDecl,4
nonAnnotationContent,4
setSchemasVisible,4
element2Locator,4
reportSchemaError,4
reportSchemaWarning,4
setGenerateSyntheticAnnotations,4
