,method_name,cluster_id
0,reset,12
1,getRecognizedFeatures,0
2,setFeature,0
3,getRecognizedProperties,0
4,setProperty,0
5,getFeatureDefault,0
6,getPropertyDefault,0
7,setDocumentHandler,0
8,getDocumentHandler,0
9,startDocument,12
10,xmlDecl,12
11,doctypeDecl,12
12,comment,7
13,processingInstruction,7
14,startElement,2
15,emptyElement,2
16,endElement,6
17,startGeneralEntity,9
18,textDecl,7
19,endGeneralEntity,7
20,characters,7
21,ignorableWhitespace,7
22,startCDATA,7
23,endCDATA,7
24,endDocument,12
25,setDocumentSource,0
26,getDocumentSource,0
27,attributeDecl,10
28,elementDecl,10
29,endAttlist,10
30,endConditional,10
31,endDTD,10
32,endExternalSubset,10
33,endParameterEntity,10
34,externalEntityDecl,4
35,getDTDSource,0
36,ignoredCharacters,10
37,internalEntityDecl,10
38,notationDecl,4
39,setDTDSource,0
40,startAttlist,10
41,startConditional,10
42,startDTD,10
43,startExternalSubset,10
44,startParameterEntity,4
45,unparsedEntityDecl,4
46,getDTDHandler,0
47,setDTDHandler,0
48,setErrorReporter,0
49,handleFallbackElement,0
50,handleIncludeElement,1
51,hasXIncludeNamespace,0
52,isIncludeElement,0
53,isFallbackElement,0
54,sameBaseURIAsIncludeParent,0
55,sameLanguageAsIncludeParent,0
56,setupCurrentBaseURI,0
57,searchForRecursiveIncludes,0
58,isTopLevelIncludedItem,0
59,isTopLevelIncludedItemViaInclude,12
60,isTopLevelIncludedItemViaFallback,0
61,processAttributes,5
62,getRelativeBaseURI,8
63,getIncludeParentBaseURI,12
64,getIncludeParentLanguage,12
65,getIncludeParentDepth,0
66,getResultDepth,0
67,modifyAugmentations,0
68,getState,0
69,setState,0
70,setSawFallback,0
71,getSawFallback,0
72,setSawInclude,0
73,getSawInclude,0
74,reportResourceError,0
75,reportFatalError,0
76,reportError,0
77,setParent,0
78,setHref,0
79,setXIncludeLocator,0
80,isRootDocument,0
81,addUnparsedEntity,3
82,addNotation,3
83,checkUnparsedEntity,0
84,checkNotation,0
85,checkAndSendUnparsedEntity,3
86,checkAndSendNotation,3
87,checkWhitespace,0
88,checkMultipleRootElements,0
89,setRootElementProcessed,12
90,getRootElementProcessed,12
91,copyFeatures,0
92,copyFeatures1,0
93,saveBaseURI,0
94,restoreBaseURI,0
95,saveLanguage,0
96,restoreLanguage,0
97,getBaseURI,0
98,getLanguage,0
99,getRelativeURI,0
100,scopeOfBaseURI,0
101,scopeOfLanguage,0
102,processXMLBaseAttributes,0
103,processXMLLangAttributes,0
104,isValidInHTTPHeader,0
105,createInputSource,0
106,isEqual,0
107,escapeHref,11
