,method_name,cluster_id
0,null2EmptyString,0
1,emptyString2Null,0
2,doc2SystemId,1
3,parseSchema,5
4,validateAnnotations,38
5,createAnnotationValidator,1
6,getGrammar,1
7,findGrammar,12
8,constructTrees,2
9,isExistingGrammar,12
10,updateImportListFor,23
11,updateImportListWith,43
12,buildGlobalNameRegistries,8
13,traverseSchemas,13
14,needReportTNSError,1
15,addGlobalAttributeDecl,25
16,addGlobalAttributeGroupDecl,25
17,addGlobalElementDecl,25
18,addGlobalGroupDecl,25
19,addGlobalNotationDecl,25
20,addGlobalTypeDecl,25
21,addIDConstraintDecl,25
22,getGlobalAttributeDecl,1
23,getGlobalAttributeGroupDecl,1
24,getGlobalElementDecl,1
25,getGlobalGroupDecl,1
26,getGlobalNotationDecl,1
27,getGlobalTypeDecl,1
28,getIDConstraintDecl,1
29,getGlobalDecl,7
30,getGlobalDeclFromGrammar,7
31,traverseGlobalDecl,31
32,schemaDocument2SystemId,1
33,getGrpOrAttrGrpRedefinedByRestriction,19
34,resolveKeyRefs,23
35,getIDRegistry,1
36,getIDRegistry_sub,1
37,storeKeyRef,18
38,resolveSchema,21
39,resolveSchemaSource,40
40,getSchemaDocument,10
41,getSchemaDocument0,1
42,getSchemaDocument1,40
43,expandGrammars,20
44,existingGrammars,20
45,canAddComponents,11
46,canAddComponent,9
47,addGrammars,20
48,addGrammarComponents,37
49,createGrammarFrom,1
50,addNewGrammarLocations,1
51,addNewImportedGrammars,44
52,updateImportList,23
53,addNewGrammarComponents,36
54,addGlobalElementDecls,35
55,addGlobalAttributeDecls,39
56,addGlobalAttributeGroupDecls,6
57,addGlobalNotationDecls,30
58,addGlobalGroupDecls,6
59,addGlobalTypeDecls,6
60,expandComponents,29
61,expandRelatedComponents,22
62,expandRelatedAttributeComponents,3
63,expandRelatedElementComponents,3
64,expandRelatedTypeComponents,3
65,expandRelatedModelGroupDefinitionComponents,3
66,expandRelatedAttributeGroupComponents,3
67,expandRelatedComplexTypeComponents,3
68,expandRelatedSimpleTypeComponents,3
69,expandRelatedAttributeUsesComponents,3
70,expandRelatedAttributeUseComponents,3
71,expandRelatedParticleComponents,3
72,expandRelatedModelGroupComponents,3
73,addRelatedType,15
74,addRelatedElement,15
75,addRelatedAttribute,15
76,addGlobalComponents,11
77,addGlobalComponent,28
78,updateImportDependencies,1
79,expandImportList,24
80,addImportList,23
81,containedImportedGrammar,11
82,getSchemaGrammar,12
83,findDependentNamespaces,0
84,addNamespaceDependency,1
85,reportSharingError,1
86,createTraversers,1
87,prepareForParse,1
88,prepareForTraverse,1
89,setDeclPool,1
90,setDVFactory,1
91,reset,41
92,traverseLocalElements,26
93,removeParticle,34
94,fillInLocalElemInfo,17
95,checkForDuplicateNames,27
96,renameRedefiningComponents,4
97,findQName,33
98,changeRedefineGroup,16
99,findXSDocumentForDecl,42
100,nonAnnotationContent,1
101,setSchemasVisible,1
102,element2Locator,32
103,reportSchemaError,14
104,reportSchemaWarning,14
105,setGenerateSyntheticAnnotations,1
