,method_name,cluster_id
0,getOwnerDocument,0
1,getNodeType,47
2,getNodeName,0
3,cloneNode,9
4,insertBefore,30
5,removeChild,6
6,replaceChild,7
7,getTextContent,0
8,setTextContent,0
9,getFeature,20
10,createAttribute,2
11,createCDATASection,53
12,createComment,53
13,createDocumentFragment,0
14,createElement,29
15,createEntityReference,2
16,createProcessingInstruction,27
17,createTextNode,53
18,getDoctype,0
19,getDocumentElement,0
20,getElementsByTagName,44
21,getImplementation,0
22,setErrorChecking,33
23,setStrictErrorChecking,33
24,getErrorChecking,0
25,getStrictErrorChecking,0
26,getInputEncoding,0
27,setInputEncoding,19
28,setXmlEncoding,19
29,setEncoding,41
30,getXmlEncoding,0
31,getEncoding,58
32,setXmlVersion,23
33,setVersion,46
34,getXmlVersion,0
35,getVersion,48
36,setXmlStandalone,19
37,setStandalone,49
38,getXmlStandalone,0
39,getStandalone,55
40,getDocumentURI,0
41,canRenameElements,0
42,renameNode,57
43,replaceRenameElement,4
44,normalizeDocument,42
45,getDomConfig,0
46,getBaseURI,0
47,setDocumentURI,51
48,getAsync,0
49,setAsync,11
50,abort,0
51,load,0
52,loadXML,0
53,saveXML,14
54,setMutationEvents,0
55,getMutationEvents,0
56,createDocumentType,24
57,createEntity,2
58,createNotation,2
59,createElementDefinition,2
60,getNodeNumber,18
61,importNode,1
62,adoptNode,5
63,undeferChildren,17
64,getElementById,35
65,clearIdentifiers,0
66,putIdentifier,39
67,getIdentifier,37
68,removeIdentifier,25
69,getIdentifiers,0
70,createElementNS,16
71,createAttributeNS,16
72,getElementsByTagNameNS,31
73,clone,38
74,isXMLName,45
75,isValidQName,15
76,isKidOK,28
77,changed,0
78,changes,0
79,getNodeListCache,8
80,freeNodeListCache,34
81,setUserData,36
82,getUserData,40
83,getUserDataRecord,26
84,removeUserDataTable,40
85,setUserDataTable,36
86,callUserDataHandlers,10
87,checkNamespaceWF,22
88,checkDOMNSErr,12
89,checkQName,21
90,isXML11Version,0
91,isNormalizeDocRequired,0
92,isXMLVersionChanged,0
93,addEventListener,0
94,removeEventListener,0
95,copyEventListeners,0
96,dispatchEvent,0
97,replacedText,0
98,deletedText,0
99,insertedText,0
100,modifyingCharacterData,0
101,modifiedCharacterData,0
102,insertingNode,0
103,insertedNode,0
104,removingNode,0
105,removedNode,0
106,replacingNode,0
107,replacedNode,0
108,replacingData,0
109,replacedCharacterData,0
110,modifiedAttrValue,0
111,setAttrNode,0
112,removedAttrNode,0
113,renamedAttrNode,0
114,renamedElement,0
115,readObject,0
116,writeObject,52
