,method_name,cluster_id
0,getGrammarDescription,2
1,getElementDeclIsExternal,10
2,getAttributeDeclIsExternal,10
3,getAttributeDeclIndex,2
4,startDTD,6
5,startParameterEntity,1
6,startExternalSubset,2
7,endParameterEntity,1
8,endExternalSubset,2
9,elementDecl,8
10,attributeDecl,8
11,internalEntityDecl,1
12,externalEntityDecl,1
13,unparsedEntityDecl,1
14,notationDecl,2
15,endDTD,4
16,setDTDSource,2
17,getDTDSource,2
18,textDecl,2
19,comment,2
20,processingInstruction,2
21,startAttlist,2
22,endAttlist,2
23,startConditional,2
24,ignoredCharacters,2
25,endConditional,2
26,setDTDContentModelSource,2
27,getDTDContentModelSource,2
28,startContentModel,2
29,startGroup,2
30,pcdata,2
31,element,6
32,separator,6
33,occurrence,6
34,endGroup,6
35,any,2
36,empty,2
37,endContentModel,2
38,isNamespaceAware,2
39,getSymbolTable,2
40,getFirstElementDeclIndex,2
41,getNextElementDeclIndex,2
42,getElementDeclIndex,2
43,getContentSpecType,4
44,getElementDecl,4
45,getElementDeclName,4
46,getFirstAttributeDeclIndex,10
47,getNextAttributeDeclIndex,10
48,getAttributeDecl,3
49,isCDATAAttribute,2
50,getEntityDeclIndex,2
51,getEntityDecl,5
52,getNotationDeclIndex,2
53,getNotationDecl,12
54,getContentSpec,7
55,getContentSpecIndex,4
56,getContentSpecAsString,4
57,printElements,2
58,printAttributes,2
59,addContentSpecToElement,6
60,getElementContentModelValidator,0
61,createElementDecl,9
62,setElementDecl,4
63,putElementNameMapping,2
64,setFirstAttributeDeclIndex,10
65,setContentSpecIndex,4
66,createAttributeDecl,3
67,setAttributeDecl,3
68,createContentSpec,7
69,setContentSpec,7
70,createEntityDecl,10
71,setEntityDecl,5
72,createNotationDecl,2
73,setNotationDecl,12
74,addContentSpecNode,2
75,addUniqueLeafNode,2
76,initializeContentModelStack,6
77,isImmutable,2
78,appendContentSpec,2
79,printAttribute,2
80,createChildModel,2
81,buildSyntaxTree,2
82,contentSpecTree,2
83,ensureElementDeclCapacity,11
84,ensureAttributeDeclCapacity,3
85,ensureEntityDeclCapacity,5
86,ensureNotationDeclCapacity,12
87,ensureContentSpecCapacity,7
88,resize,2
89,isEntityDeclared,2
90,isEntityUnparsed,10
