,method_name,cluster_id
0,getOwnerDocument,1
1,getNodeType,1
2,getNodeName,1
3,cloneNode,10
4,insertBefore,9
5,removeChild,15
6,replaceChild,9
7,getTextContent,1
8,setTextContent,1
9,getFeature,18
10,createAttribute,6
11,createCDATASection,1
12,createComment,1
13,createDocumentFragment,1
14,createElement,6
15,createEntityReference,6
16,createProcessingInstruction,6
17,createTextNode,1
18,getDoctype,34
19,getDocumentElement,25
20,getElementsByTagName,1
21,getImplementation,1
22,setErrorChecking,4
23,setStrictErrorChecking,4
24,getErrorChecking,4
25,getStrictErrorChecking,4
26,getInputEncoding,22
27,setInputEncoding,22
28,setXmlEncoding,26
29,setEncoding,28
30,getXmlEncoding,26
31,getEncoding,0
32,setXmlVersion,11
33,setVersion,1
34,getXmlVersion,1
35,getVersion,1
36,setXmlStandalone,20
37,setStandalone,27
38,getXmlStandalone,20
39,getStandalone,33
40,getDocumentURI,16
41,canRenameElements,1
42,renameNode,5
43,replaceRenameElement,7
44,normalizeDocument,12
45,getDomConfig,30
46,getBaseURI,16
47,setDocumentURI,16
48,getAsync,1
49,setAsync,1
50,abort,1
51,load,1
52,loadXML,1
53,saveXML,4
54,setMutationEvents,1
55,getMutationEvents,1
56,createDocumentType,1
57,createEntity,6
58,createNotation,6
59,createElementDefinition,6
60,getNodeNumber,14
61,importNode,2
62,adoptNode,3
63,undeferChildren,1
64,getElementById,31
65,clearIdentifiers,13
66,putIdentifier,32
67,getIdentifier,13
68,removeIdentifier,13
69,getIdentifiers,13
70,createElementNS,1
71,createAttributeNS,1
72,getElementsByTagNameNS,1
73,clone,15
74,isXMLName,19
75,isValidQName,19
76,isKidOK,17
77,changed,24
78,changes,24
79,getNodeListCache,21
80,freeNodeListCache,21
81,setUserData,8
82,getUserData,8
83,getUserDataRecord,8
84,removeUserDataTable,8
85,setUserDataTable,8
86,callUserDataHandlers,8
87,checkNamespaceWF,4
88,checkDOMNSErr,4
89,checkQName,4
90,isXML11Version,19
91,isNormalizeDocRequired,1
92,isXMLVersionChanged,29
93,addEventListener,1
94,removeEventListener,1
95,copyEventListeners,1
96,dispatchEvent,1
97,replacedText,1
98,deletedText,1
99,insertedText,1
100,modifyingCharacterData,1
101,modifiedCharacterData,1
102,insertingNode,1
103,insertedNode,1
104,removingNode,1
105,removedNode,1
106,replacingNode,1
107,replacedNode,1
108,replacingData,1
109,replacedCharacterData,1
110,modifiedAttrValue,1
111,setAttrNode,1
112,removedAttrNode,1
113,renamedAttrNode,1
114,renamedElement,1
115,readObject,23
116,writeObject,23
