,method_name,cluster_id
0,null2EmptyString,21
1,emptyString2Null,21
2,doc2SystemId,27
3,parseSchema,4
4,validateAnnotations,37
5,createAnnotationValidator,0
6,getGrammar,27
7,findGrammar,30
8,constructTrees,7
9,isExistingGrammar,30
10,updateImportListFor,5
11,updateImportListWith,35
12,buildGlobalNameRegistries,11
13,traverseSchemas,9
14,needReportTNSError,27
15,addGlobalAttributeDecl,19
16,addGlobalAttributeGroupDecl,19
17,addGlobalElementDecl,19
18,addGlobalGroupDecl,19
19,addGlobalNotationDecl,19
20,addGlobalTypeDecl,19
21,addIDConstraintDecl,19
22,getGlobalAttributeDecl,2
23,getGlobalAttributeGroupDecl,2
24,getGlobalElementDecl,2
25,getGlobalGroupDecl,2
26,getGlobalNotationDecl,2
27,getGlobalTypeDecl,2
28,getIDConstraintDecl,2
29,getGlobalDecl,8
30,getGlobalDeclFromGrammar,8
31,traverseGlobalDecl,18
32,schemaDocument2SystemId,27
33,getGrpOrAttrGrpRedefinedByRestriction,22
34,resolveKeyRefs,32
35,getIDRegistry,27
36,getIDRegistry_sub,27
37,storeKeyRef,24
38,resolveSchema,15
39,resolveSchemaSource,15
40,getSchemaDocument,23
41,getSchemaDocument0,27
42,getSchemaDocument1,15
43,expandGrammars,36
44,existingGrammars,14
45,canAddComponents,33
46,canAddComponent,28
47,addGrammars,14
48,addGrammarComponents,27
49,createGrammarFrom,27
50,addNewGrammarLocations,27
51,addNewImportedGrammars,40
52,updateImportList,5
53,addNewGrammarComponents,31
54,addGlobalElementDecls,3
55,addGlobalAttributeDecls,3
56,addGlobalAttributeGroupDecls,3
57,addGlobalNotationDecls,42
58,addGlobalGroupDecls,3
59,addGlobalTypeDecls,3
60,expandComponents,34
61,expandRelatedComponents,17
62,expandRelatedAttributeComponents,1
63,expandRelatedElementComponents,1
64,expandRelatedTypeComponents,1
65,expandRelatedModelGroupDefinitionComponents,1
66,expandRelatedAttributeGroupComponents,1
67,expandRelatedComplexTypeComponents,1
68,expandRelatedSimpleTypeComponents,1
69,expandRelatedAttributeUsesComponents,1
70,expandRelatedAttributeUseComponents,1
71,expandRelatedParticleComponents,1
72,expandRelatedModelGroupComponents,1
73,addRelatedType,16
74,addRelatedElement,16
75,addRelatedAttribute,16
76,addGlobalComponents,33
77,addGlobalComponent,6
78,updateImportDependencies,27
79,expandImportList,38
80,addImportList,5
81,containedImportedGrammar,5
82,getSchemaGrammar,30
83,findDependentNamespaces,39
84,addNamespaceDependency,27
85,reportSharingError,27
86,createTraversers,27
87,prepareForParse,27
88,prepareForTraverse,0
89,setDeclPool,27
90,setDVFactory,27
91,reset,27
92,traverseLocalElements,25
93,removeParticle,26
94,fillInLocalElemInfo,20
95,checkForDuplicateNames,41
96,renameRedefiningComponents,12
97,findQName,29
98,changeRedefineGroup,13
99,findXSDocumentForDecl,27
100,nonAnnotationContent,27
101,setSchemasVisible,27
102,element2Locator,27
103,reportSchemaError,10
104,reportSchemaWarning,10
105,setGenerateSyntheticAnnotations,27
