,method_name,cluster_id
0,reset,4
1,getRecognizedFeatures,5
2,setFeature,5
3,getRecognizedProperties,5
4,setProperty,5
5,getFeatureDefault,5
6,getPropertyDefault,5
7,setDocumentHandler,5
8,getDocumentHandler,5
9,startDocument,0
10,xmlDecl,5
11,doctypeDecl,5
12,comment,7
13,processingInstruction,7
14,startElement,3
15,emptyElement,3
16,endElement,3
17,startGeneralEntity,7
18,textDecl,7
19,endGeneralEntity,7
20,characters,7
21,ignorableWhitespace,7
22,startCDATA,7
23,endCDATA,7
24,endDocument,5
25,setDocumentSource,5
26,getDocumentSource,5
27,attributeDecl,6
28,elementDecl,6
29,endAttlist,6
30,endConditional,6
31,endDTD,6
32,endExternalSubset,6
33,endParameterEntity,6
34,externalEntityDecl,6
35,getDTDSource,5
36,ignoredCharacters,6
37,internalEntityDecl,6
38,notationDecl,6
39,setDTDSource,5
40,startAttlist,6
41,startConditional,6
42,startDTD,6
43,startExternalSubset,6
44,startParameterEntity,6
45,unparsedEntityDecl,6
46,getDTDHandler,6
47,setDTDHandler,6
48,setErrorReporter,5
49,handleFallbackElement,3
50,handleIncludeElement,2
51,hasXIncludeNamespace,5
52,isIncludeElement,5
53,isFallbackElement,5
54,sameBaseURIAsIncludeParent,5
55,sameLanguageAsIncludeParent,5
56,setupCurrentBaseURI,5
57,searchForRecursiveIncludes,5
58,isTopLevelIncludedItem,5
59,isTopLevelIncludedItemViaInclude,5
60,isTopLevelIncludedItemViaFallback,5
61,processAttributes,1
62,getRelativeBaseURI,5
63,getIncludeParentBaseURI,5
64,getIncludeParentLanguage,5
65,getIncludeParentDepth,5
66,getResultDepth,5
67,modifyAugmentations,5
68,getState,5
69,setState,5
70,setSawFallback,5
71,getSawFallback,5
72,setSawInclude,5
73,getSawInclude,5
74,reportResourceError,5
75,reportFatalError,5
76,reportError,5
77,setParent,5
78,setHref,5
79,setXIncludeLocator,5
80,isRootDocument,5
81,addUnparsedEntity,5
82,addNotation,5
83,checkUnparsedEntity,5
84,checkNotation,5
85,checkAndSendUnparsedEntity,6
86,checkAndSendNotation,6
87,checkWhitespace,5
88,checkMultipleRootElements,5
89,setRootElementProcessed,5
90,getRootElementProcessed,5
91,copyFeatures,5
92,copyFeatures1,5
93,saveBaseURI,5
94,restoreBaseURI,5
95,saveLanguage,5
96,restoreLanguage,5
97,getBaseURI,5
98,getLanguage,5
99,getRelativeURI,5
100,scopeOfBaseURI,5
101,scopeOfLanguage,5
102,processXMLBaseAttributes,5
103,processXMLLangAttributes,5
104,isValidInHTTPHeader,5
105,createInputSource,5
106,isEqual,5
107,escapeHref,5
