,method_name,cluster_id
0,getOwnerDocument,None
1,getNodeType,None
2,getNodeName,None
3,cloneNode,None
4,insertBefore,None
5,removeChild,None
6,replaceChild,None
7,getTextContent,9
8,setTextContent,9
9,getFeature,None
10,createAttribute,0
11,createCDATASection,0
12,createComment,0
13,createDocumentFragment,0
14,createElement,0
15,createEntityReference,0
16,createProcessingInstruction,0
17,createTextNode,0
18,getDoctype,None
19,getDocumentElement,None
20,getElementsByTagName,None
21,getImplementation,None
22,setErrorChecking,8
23,setStrictErrorChecking,8
24,getErrorChecking,8
25,getStrictErrorChecking,8
26,getInputEncoding,5
27,setInputEncoding,5
28,setXmlEncoding,5
29,setEncoding,5
30,getXmlEncoding,5
31,getEncoding,5
32,setXmlVersion,None
33,setVersion,None
34,getXmlVersion,None
35,getVersion,None
36,setXmlStandalone,4
37,setStandalone,4
38,getXmlStandalone,4
39,getStandalone,4
40,getDocumentURI,3
41,canRenameElements,None
42,renameNode,None
43,replaceRenameElement,None
44,normalizeDocument,None
45,getDomConfig,None
46,getBaseURI,3
47,setDocumentURI,3
48,getAsync,None
49,setAsync,None
50,abort,None
51,load,None
52,loadXML,None
53,saveXML,None
54,setMutationEvents,None
55,getMutationEvents,None
56,createDocumentType,0
57,createEntity,0
58,createNotation,0
59,createElementDefinition,0
60,getNodeNumber,None
61,importNode,None
62,adoptNode,None
63,undeferChildren,None
64,getElementById,None
65,clearIdentifiers,6
66,putIdentifier,6
67,getIdentifier,6
68,removeIdentifier,6
69,getIdentifiers,6
70,createElementNS,0
71,createAttributeNS,0
72,getElementsByTagNameNS,None
73,clone,None
74,isXMLName,None
75,isValidQName,None
76,isKidOK,None
77,changed,None
78,changes,None
79,getNodeListCache,2
80,freeNodeListCache,2
81,setUserData,7
82,getUserData,7
83,getUserDataRecord,7
84,removeUserDataTable,7
85,setUserDataTable,7
86,callUserDataHandlers,7
87,checkNamespaceWF,None
88,checkDOMNSErr,None
89,checkQName,None
90,isXML11Version,None
91,isNormalizeDocRequired,None
92,isXMLVersionChanged,None
93,addEventListener,None
94,removeEventListener,None
95,copyEventListeners,None
96,dispatchEvent,None
97,replacedText,None
98,deletedText,None
99,insertedText,None
100,modifyingCharacterData,None
101,modifiedCharacterData,None
102,insertingNode,None
103,insertedNode,None
104,removingNode,None
105,removedNode,None
106,replacingNode,None
107,replacedNode,None
108,replacingData,None
109,replacedCharacterData,None
110,modifiedAttrValue,None
111,setAttrNode,None
112,removedAttrNode,None
113,renamedAttrNode,None
114,renamedElement,None
115,readObject,1
116,writeObject,1
