,method_name,cluster_id
0,getGrammarDescription,None
1,getElementDeclIsExternal,None
2,getAttributeDeclIsExternal,None
3,getAttributeDeclIndex,None
4,startDTD,None
5,startParameterEntity,10
6,startExternalSubset,11
7,endParameterEntity,10
8,endExternalSubset,11
9,elementDecl,None
10,attributeDecl,None
11,internalEntityDecl,None
12,externalEntityDecl,None
13,unparsedEntityDecl,None
14,notationDecl,None
15,endDTD,None
16,setDTDSource,None
17,getDTDSource,None
18,textDecl,None
19,comment,None
20,processingInstruction,None
21,startAttlist,None
22,endAttlist,None
23,startConditional,None
24,ignoredCharacters,None
25,endConditional,None
26,setDTDContentModelSource,9
27,getDTDContentModelSource,9
28,startContentModel,9
29,startGroup,None
30,pcdata,None
31,element,None
32,separator,None
33,occurrence,None
34,endGroup,None
35,any,None
36,empty,None
37,endContentModel,9
38,isNamespaceAware,None
39,getSymbolTable,None
40,getFirstElementDeclIndex,None
41,getNextElementDeclIndex,None
42,getElementDeclIndex,None
43,getContentSpecType,9
44,getElementDecl,None
45,getElementDeclName,None
46,getFirstAttributeDeclIndex,None
47,getNextAttributeDeclIndex,None
48,getAttributeDecl,None
49,isCDATAAttribute,None
50,getEntityDeclIndex,None
51,getEntityDecl,None
52,getNotationDeclIndex,None
53,getNotationDecl,None
54,getContentSpec,9
55,getContentSpecIndex,9
56,getContentSpecAsString,9
57,printElements,None
58,printAttributes,None
59,addContentSpecToElement,9
60,getElementContentModelValidator,9
61,createElementDecl,0
62,setElementDecl,None
63,putElementNameMapping,None
64,setFirstAttributeDeclIndex,None
65,setContentSpecIndex,9
66,createAttributeDecl,0
67,setAttributeDecl,None
68,createContentSpec,0
69,setContentSpec,9
70,createEntityDecl,0
71,setEntityDecl,None
72,createNotationDecl,0
73,setNotationDecl,None
74,addContentSpecNode,9
75,addUniqueLeafNode,None
76,initializeContentModelStack,9
77,isImmutable,None
78,appendContentSpec,9
79,printAttribute,None
80,createChildModel,0
81,buildSyntaxTree,None
82,contentSpecTree,9
83,ensureElementDeclCapacity,None
84,ensureAttributeDeclCapacity,None
85,ensureEntityDeclCapacity,None
86,ensureNotationDeclCapacity,None
87,ensureContentSpecCapacity,9
88,resize,None
89,isEntityDeclared,None
90,isEntityUnparsed,None
