,method_name,cluster_id
0,reset,None
1,getRecognizedFeatures,None
2,setFeature,None
3,getRecognizedProperties,None
4,setProperty,None
5,getFeatureDefault,None
6,getPropertyDefault,None
7,setDocumentHandler,None
8,getDocumentHandler,None
9,startDocument,None
10,xmlDecl,None
11,doctypeDecl,None
12,comment,None
13,processingInstruction,None
14,startElement,None
15,emptyElement,None
16,endElement,None
17,startGeneralEntity,None
18,textDecl,None
19,endGeneralEntity,None
20,characters,None
21,ignorableWhitespace,None
22,startCDATA,None
23,endCDATA,None
24,endDocument,None
25,setDocumentSource,None
26,getDocumentSource,None
27,attributeDecl,None
28,elementDecl,None
29,endAttlist,None
30,endConditional,None
31,endDTD,None
32,endExternalSubset,11
33,endParameterEntity,10
34,externalEntityDecl,None
35,getDTDSource,None
36,ignoredCharacters,None
37,internalEntityDecl,None
38,notationDecl,None
39,setDTDSource,None
40,startAttlist,None
41,startConditional,None
42,startDTD,None
43,startExternalSubset,11
44,startParameterEntity,10
45,unparsedEntityDecl,None
46,getDTDHandler,None
47,setDTDHandler,None
48,setErrorReporter,8
49,handleFallbackElement,None
50,handleIncludeElement,None
51,hasXIncludeNamespace,None
52,isIncludeElement,None
53,isFallbackElement,None
54,sameBaseURIAsIncludeParent,3
55,sameLanguageAsIncludeParent,None
56,setupCurrentBaseURI,3
57,searchForRecursiveIncludes,None
58,isTopLevelIncludedItem,None
59,isTopLevelIncludedItemViaInclude,None
60,isTopLevelIncludedItemViaFallback,None
61,processAttributes,None
62,getRelativeBaseURI,3
63,getIncludeParentBaseURI,3
64,getIncludeParentLanguage,None
65,getIncludeParentDepth,None
66,getResultDepth,None
67,modifyAugmentations,None
68,getState,None
69,setState,None
70,setSawFallback,None
71,getSawFallback,None
72,setSawInclude,None
73,getSawInclude,None
74,reportResourceError,8
75,reportFatalError,8
76,reportError,8
77,setParent,None
78,setHref,None
79,setXIncludeLocator,None
80,isRootDocument,None
81,addUnparsedEntity,None
82,addNotation,None
83,checkUnparsedEntity,None
84,checkNotation,None
85,checkAndSendUnparsedEntity,None
86,checkAndSendNotation,None
87,checkWhitespace,None
88,checkMultipleRootElements,None
89,setRootElementProcessed,None
90,getRootElementProcessed,None
91,copyFeatures,None
92,copyFeatures1,None
93,saveBaseURI,3
94,restoreBaseURI,3
95,saveLanguage,None
96,restoreLanguage,None
97,getBaseURI,3
98,getLanguage,None
99,getRelativeURI,3
100,scopeOfBaseURI,3
101,scopeOfLanguage,None
102,processXMLBaseAttributes,None
103,processXMLLangAttributes,None
104,isValidInHTTPHeader,None
105,createInputSource,0
106,isEqual,None
107,escapeHref,None
