,method_name,cluster_id
0,null2EmptyString,None
1,emptyString2Null,None
2,doc2SystemId,None
3,parseSchema,None
4,validateAnnotations,None
5,createAnnotationValidator,0
6,getGrammar,None
7,findGrammar,None
8,constructTrees,None
9,isExistingGrammar,None
10,updateImportListFor,None
11,updateImportListWith,None
12,buildGlobalNameRegistries,12
13,traverseSchemas,None
14,needReportTNSError,8
15,addGlobalAttributeDecl,12
16,addGlobalAttributeGroupDecl,12
17,addGlobalElementDecl,12
18,addGlobalGroupDecl,12
19,addGlobalNotationDecl,12
20,addGlobalTypeDecl,12
21,addIDConstraintDecl,None
22,getGlobalAttributeDecl,12
23,getGlobalAttributeGroupDecl,12
24,getGlobalElementDecl,12
25,getGlobalGroupDecl,12
26,getGlobalNotationDecl,12
27,getGlobalTypeDecl,12
28,getIDConstraintDecl,None
29,getGlobalDecl,12
30,getGlobalDeclFromGrammar,12
31,traverseGlobalDecl,12
32,schemaDocument2SystemId,None
33,getGrpOrAttrGrpRedefinedByRestriction,None
34,resolveKeyRefs,None
35,getIDRegistry,None
36,getIDRegistry_sub,None
37,storeKeyRef,None
38,resolveSchema,None
39,resolveSchemaSource,None
40,getSchemaDocument,None
41,getSchemaDocument0,None
42,getSchemaDocument1,None
43,expandGrammars,None
44,existingGrammars,None
45,canAddComponents,13
46,canAddComponent,13
47,addGrammars,None
48,addGrammarComponents,13
49,createGrammarFrom,0
50,addNewGrammarLocations,None
51,addNewImportedGrammars,None
52,updateImportList,None
53,addNewGrammarComponents,13
54,addGlobalElementDecls,12
55,addGlobalAttributeDecls,12
56,addGlobalAttributeGroupDecls,12
57,addGlobalNotationDecls,12
58,addGlobalGroupDecls,12
59,addGlobalTypeDecls,12
60,expandComponents,13
61,expandRelatedComponents,13
62,expandRelatedAttributeComponents,13
63,expandRelatedElementComponents,13
64,expandRelatedTypeComponents,13
65,expandRelatedModelGroupDefinitionComponents,13
66,expandRelatedAttributeGroupComponents,13
67,expandRelatedComplexTypeComponents,13
68,expandRelatedSimpleTypeComponents,13
69,expandRelatedAttributeUsesComponents,13
70,expandRelatedAttributeUseComponents,13
71,expandRelatedParticleComponents,13
72,expandRelatedModelGroupComponents,13
73,addRelatedType,None
74,addRelatedElement,None
75,addRelatedAttribute,None
76,addGlobalComponents,12
77,addGlobalComponent,12
78,updateImportDependencies,None
79,expandImportList,None
80,addImportList,None
81,containedImportedGrammar,None
82,getSchemaGrammar,None
83,findDependentNamespaces,None
84,addNamespaceDependency,None
85,reportSharingError,8
86,createTraversers,0
87,prepareForParse,None
88,prepareForTraverse,None
89,setDeclPool,None
90,setDVFactory,None
91,reset,None
92,traverseLocalElements,None
93,removeParticle,None
94,fillInLocalElemInfo,None
95,checkForDuplicateNames,None
96,renameRedefiningComponents,13
97,findQName,None
98,changeRedefineGroup,None
99,findXSDocumentForDecl,None
100,nonAnnotationContent,9
101,setSchemasVisible,None
102,element2Locator,None
103,reportSchemaError,8
104,reportSchemaWarning,None
105,setGenerateSyntheticAnnotations,None
