,k,score
0,2,0.6838387545036093
1,3,0.5242820271343518
2,4,0.5214905942765006
3,5,0.5468998812051412
4,6,0.5381052977723337
5,7,0.5394504202121837
6,8,0.5481471249662269
7,9,0.5503779416957852
8,10,0.5871675393498739
9,11,0.6063249694547097
10,12,0.613669130087159
11,13,0.6254108874284741
12,14,0.628037456278907
13,15,0.6412012548246222
14,16,0.6436624267109801
15,17,0.6393568018464778
16,18,0.6419752840792443
17,19,0.6420803808221295
18,20,0.6446333610756769
19,21,0.6440818818091211
20,22,0.6460283438018862
21,23,0.6485438074062645
22,24,0.6582754086696928
23,25,0.6607737452888162
24,26,0.6641563504593755
25,27,0.6657270536039083
26,28,0.664170035440733
27,29,0.6632938620206286
28,30,0.6641211679749061
29,31,0.6657744263545851
30,32,0.6657742725161232
31,33,0.6674613759474507
32,34,0.666137203400804
33,35,0.6661349239094791
34,36,0.6698720224285888
35,37,0.6724038717054066
36,38,0.6707292170325779
37,39,0.6702007263241144
38,40,0.6709355605765241
39,41,0.673062051667441
40,42,0.6800659056928025
41,43,0.6801405187978935
42,44,0.6811381572831041
43,45,0.6811381572831041
44,46,0.6811381572831041
45,47,0.6811381572831041
46,48,0.6811381572831041
47,49,0.6811381572831041
48,50,0.6850310681118501
49,51,0.688999569442125
50,52,0.693045884523974
51,53,0.6971723246569488
52,54,0.7013812935925829
53,55,0.6994445265198831
54,56,0.7036534954555174
55,57,0.7023809523809523
56,58,0.6904761904761905
57,59,0.6785714285714286
58,60,0.6488095238095238
