,k,score
0,2,0.6996712061547561
1,3,0.5507792701736549
2,4,0.31320796996663075
3,5,0.3128993506015825
4,6,0.15473143303486378
5,7,0.16508405335141466
6,8,0.1811922741092937
7,9,0.1853030385407257
8,10,0.19271005023306648
9,11,0.21561822890643753
10,12,0.2384695622506049
11,13,0.2274304805692876
12,14,0.2484350196341895
13,15,0.25703185323305106
14,16,0.2538552604263541
15,17,0.2580932660641257
16,18,0.2623970996167947
17,19,0.2698679746782984
18,20,0.2759523232410324
19,21,0.28245731783822653
20,22,0.28880564997642116
21,23,0.291239703781286
22,24,0.3009969033455731
23,25,0.30363764378773517
24,26,0.3050380719104976
25,27,0.30883731418884813
26,28,0.3067261654455822
27,29,0.309044744523105
28,30,0.3114059902386075
29,31,0.31381277886000064
30,32,0.3162681979838094
31,33,0.31877555191879
32,34,0.3213383611446502
33,35,0.34009970531335165
34,36,0.358893707164783
35,37,0.3777059501444549
36,38,0.38044528301409836
37,39,0.3821533958437478
38,40,0.4010515888280988
39,41,0.42000781136116266
40,42,0.4390349264765064
41,43,0.4580529500870429
42,44,0.4483049278231536
43,45,0.4601155610417529
44,46,0.46614731749761273
45,47,0.4627491060333114
46,48,0.46087835576602165
47,49,0.459007605498732
48,50,0.46044827599686033
49,51,0.4620598854006939
50,52,0.46387475196551753
51,53,0.46593388201579916
52,54,0.46829009717720205
53,55,0.47101261584203236
54,56,0.47419394327587194
55,57,0.4799228176604852
56,58,0.48647010267147167
57,59,0.4902367097628045
58,60,0.4947661725571746
