,k,score
0,2,0.6166523412103058
1,3,0.4068218534266245
2,4,0.44256593021449064
3,5,0.4469170753682239
4,6,0.4162125923004941
5,7,0.38867762341282636
6,8,0.4013008735027709
7,9,0.42549323897627367
8,10,0.45653294728364086
9,11,0.4510609727523292
10,12,0.44824340711605093
11,13,0.4760914566333469
12,14,0.4936738797899916
13,15,0.5187886794493362
14,16,0.5375200727429377
15,17,0.5196725531124261
16,18,0.5520208619502655
17,19,0.5777952792058261
18,20,0.5872375989137468
19,21,0.619664487746516
20,22,0.6378765284457996
21,23,0.6563525688251515
22,24,0.6797301293911302
23,25,0.6944715359989978
24,26,0.7094973678937054
25,27,0.7107584437784459
26,28,0.7175666242602713
27,29,0.7218233202566243
28,30,0.7258472248955696
29,31,0.7193035689190991
30,32,0.7341418310836721
31,33,0.7397302642172019
32,34,0.7362336417793012
33,35,0.7392566506827042
34,36,0.7555095274441429
35,37,0.7528091315085469
36,38,0.7597481252176035
37,39,0.76318712152832
38,40,0.7717341300753287
39,41,0.7692307692307693
40,42,0.7692307692307693
41,43,0.7692307692307693
42,44,0.7692307692307693
43,45,0.7692307692307693
44,46,0.7692307692307693
45,47,0.7692307692307693
46,48,0.7692307692307693
47,49,0.7692307692307693
48,50,0.7692307692307693
49,51,0.7692307692307693
50,52,0.7692307692307693
51,53,0.7692307692307693
52,54,0.7692307692307693
53,55,0.7692307692307693
54,56,0.7692307692307693
55,57,0.7692307692307693
56,58,0.7692307692307693
57,59,0.7692307692307693
58,60,0.7692307692307693
