,k,score
0,2,0.4125591096858703
1,3,0.21686696374016992
2,4,0.3417849437670708
3,5,0.3518673399981138
4,6,0.1250767705501542
5,7,0.18004828065370665
6,8,0.10685221434972238
7,9,0.12199231468917462
8,10,0.18871764538742306
9,11,0.0885399143178151
10,12,0.1338647403694422
11,13,0.15276115251351485
12,14,0.13870459042452682
13,15,0.13194109699132547
14,16,0.15152773875634654
15,17,0.11530959525733034
16,18,0.11245666125171018
17,19,0.16799737628692402
18,20,0.12748442458693246
19,21,0.1685732684798619
20,22,0.15349179686310255
21,23,0.09323109562406529
22,24,0.0936323513290264
23,25,0.09591330187061474
24,26,0.15867763509089705
25,27,0.13241501640275236
26,28,0.15017193971464263
27,29,0.16023058226324197
28,30,0.15139262886946575
29,31,0.1687004576719008
30,32,0.13181492071308482
31,33,0.18941760964285756
32,34,0.1749135651218078
33,35,0.17318483659003395
34,36,0.1927373092924964
35,37,0.19890966378188135
36,38,0.1632728184174378
37,39,0.18782473635480004
38,40,0.17505380332223733
39,41,0.2118159071795097
40,42,0.20264187869204286
41,43,0.1976337870827306
42,44,0.22464634953353457
43,45,0.20595407515654765
44,46,0.20941846675800788
45,47,0.2150776968996276
46,48,0.22266437027186486
47,49,0.22363097501335666
48,50,0.23046939161458568
49,51,0.21961190793911525
50,52,0.2211589806820854
51,53,0.21397267379576612
52,54,0.20674416404009238
53,55,0.22930090889229315
54,56,0.23839866908472945
55,57,0.23156440602492834
56,58,0.2370109102785333
57,59,0.22476460753886712
58,60,0.23292304754821547
